time,conc,type
1.6,1778.6044,plasma
1.92,1211.8044,plasma
6.4,1578.6783,plasma
48,37.6594,plasma
167.68,0.8253,plasma
1.28,732.2221,spleen
48,310.842,spleen
168,146.7732,spleen
1.28,267.3886,kidney
48,124.9414,kidney
168,63.3962,kidney
1.28,562.4184,liver
48,244.553,liver
168,121.1472,liver
