time,conc,type
0.19533,0.37801,nonliposomal
1.55306,0.22519,nonliposomal
2.65842,0.1767,nonliposomal
3.97832,0.15534,nonliposomal
6.32232,0.1482,nonliposomal
10.28803,0.16378,nonliposomal
14.42406,0.17811,nonliposomal
18.64454,0.18154,nonliposomal
23.97358,0.1882,nonliposomal
0.615,217.868,total
1.549,160.201,total
2.526,125.695,total
4.101,98.661,total
6.102,85.379,total
8.105,76.321,total
13.558,61.045,total
19.183,49.631,total
24.083,41.661,total
