time,conc
0.23992,1.40129
1.09202,0.72775
3.34796,0.28392
5.59402,0.1805
8.81366,0.14734
11.89181,0.13073
17.4884,0.10541
35.95609,0.05458
48.1284,0.03464
59.88104,0.02225
71.77326,0.01447
95.97758,0.00597
