time,conc,type
0.48262,238.05736,total
1.01431,210.31486,total
3.9591,61.86996,total
8.00818,81.76286,total
24.0818,49.04367,total
0.44172,0.19165,nonLIP
0.93252,0.29116,nonLIP
1.99591,0.28228,nonLIP
4,0.15915,nonLIP
7.96728,0.19768,nonLIP
24.0409,0.09846,nonLIP
