time,value,type
0.102,2.40985E+11,medium
1.98,2.40827E+11,medium
4.01,2.40751E+11,medium
5.939,2.40705E+11,medium
7.97,2.4068E+11,medium
0.051,3066404.227,cytosol
2.03,104288822.1,cytosol
4.01,120817362.5,cytosol
7.97,136527504.4,cytosol
0.101,1269035.533,nucleus
1.956,68527918.78,nucleus
3.964,129441624.4,nucleus
7.892,185279187.8,nucleus
